date,yhat,yhat_lower,yhat_upper
2018-01-31,14046.94624320692,8502.816634043966,19326.185566236403
2018-02-28,15983.226131341356,10267.115626996343,21451.31761455196
2018-03-31,21041.07854773497,15409.69069080182,27089.070064373333
2018-04-30,22686.95859157417,16851.385596658056,28236.478046876513
2018-05-31,21102.283034601944,15451.267011137526,26969.90569693727
2018-06-30,23143.904775185987,17159.78306226294,28991.11965422487
2018-07-31,20660.325685177006,14778.413595583845,26216.53264575313
2018-08-31,22588.704055623013,16495.245044575386,28122.735364548673
2018-09-30,36926.933295451316,31088.677075609292,43177.91974039746
2018-10-31,25917.420894738385,20324.281007382393,31554.274432522296
2018-11-30,47720.82751014206,42032.62561743671,53278.74197156086
2018-12-31,42563.92094476563,36598.09295486096,48559.84450262148
